# Epoch[JD] RV[m/s] RV_err[m/s] InstrumentID
2450420.066338 -15.1766746137689 1.66568088531494 0
2450420.074509 -10.7562720869135 1.71666657924652 0
2450546.767512 -9.07629466992127 1.26630032062531 0
2450787.037715 -13.9460761640619 2.16769790649414 0
2450806.990716 -12.1580436323236 1.20997858047485 0
2450838.930132 -6.41506267529236 1.33816695213318 0
2450839.936922 -1.13190532665955 1.13576853275299 0
2450861.771398 -12.6166541669916 1.28410565853119 0
2451069.122574 -19.0896766279291 2.03589940071106 0
2451171.882648 -13.2032096479486 1.17805826663971 0
2451227.813295 -14.0058372114252 1.21097075939178 0
2451550.969523 -10.3153541181635 1.16772222518921 0
2451552.9089 -11.2889106367181 1.47022438049316 0
2451582.847887 -10.9455802534174 1.36433780193329 0
2451897.994357 -1.31040264111267 1.44293689727783 0
2452007.736478 -9.64006114941346 1.58988010883331 0
2452235.92669 -19.7744834516595 2.65949106216431 0
2452538.092697 -9.20168376904236 1.48704731464386 0
2452602.977118 -10.2347114179681 1.84131169319153 0
2452924.15191 -19.263962516601 3.24088287353516 0
2453302.099043 -4.03967048618301 0.87888640165329 1
2453368.91637 -5.55056436427398 0.899297833442688 1
2453425.786542 -6.47965439251384 0.913758158683777 1
2453723.96525 -4.09661770802247 0.903203070163727 1
2453775.844964 -9.43702148107176 0.873456478118896 1
2454084.037127 -2.89852321281291 0.988418638706207 1
2454138.863753 -6.09179000618808 0.919390618801117 1
2454806.03902 -8.23678693384659 1.12287318706512 1
2454809.02618 -8.67416278106951 1.05964589118958 1
2454809.970816 -7.08798820302481 1.03213202953339 1
2454818.982445 -1.19930242568574 1.06083977222443 1
2454820.918173 -3.87340091023585 0.981265008449554 1
2455168.927439 -3.85991682659239 1.09261989593506 1
2455199.006458 -2.84991477916006 1.11927580833435 1
2455202.926766 -5.25286068497146 0.855254292488098 1
2455257.919526 -6.64343769799769 0.938014268875122 1
2455258.80713 -5.9204603588071 0.94297868013382 1
2455259.812736 -6.88881625780828 0.863294780254364 1
2455638.805471 -10.9001775038123 0.921631217002869 1
2455877.091302 -4.19471333568225 0.997473299503326 1
2455877.09548 -5.73816492507544 1.08508372306824 1
2455912.962554 -2.87910790860582 1.03416013717651 1
2455912.965922 -0.845408125946733 0.980077624320984 1
2455931.992429 -3.05323646692305 1.25566363334656 1
2456209.152639 -3.00777056602305 1.01186013221741 1
2456640.973839 -3.1476323411268 1.10701704025269 1
2458116.862082 8.23841179886913 1.25535523891449 1
2458117.851925 8.21364736632467 1.24995505809784 1
2458396.141195 6.43085405321682 1.18169295787811 1
2458777.036875 15.6052393121945 1.0684210062027 1
2458794.99387 3.65814632713666 1.15448534488678 1
2458880.798416 15.0515142068733 1.07686471939087 1
2458907.828582 12.2812370643108 0.962633073329926 1
2459101.122628 6.2788014197231 1.16154360771179 1
2459267.793895 19.5158421312856 1.04496216773987 1
2459503.06628 15.7485694903497 1.01906883716583 1
2457263.879489 0.49 0.43 2
2457264.902376 1.44 0.51 2
2457265.881743 1.32 0.5 2
2457266.889202 -0.43 0.53 2
2457267.884416 1.34 0.52 2
2457268.890973 0.86 0.43 2
2457269.909152 0.61 0.43 2
2457270.91769 1.27 0.39 2
2457273.909784 -4.73 0.47 2
2457274.899202 -0.23 0.46 2
2457276.901905 1.54 0.56 2
2457277.887099 1.26 0.46 2
2457278.909946 -2.21 0.45 2
2457291.901526 4.63 0.47 2
2457292.884523 0.7 0.42 2
2457293.881213 3.56 0.42 2
2457294.886908 5.7 0.42 2
2457295.878887 3.63 0.47 2
2457306.869505 1.05 0.46 2
2457308.866503 1.31 0.49 2
2457312.865507 2.01 0.4 2
2457318.801362 1.72 0.41 2
2457319.82785 -1.03 0.72 2
2457324.863874 -2.88 0.58 2
2457325.796671 -1.55 0.37 2
2457327.771161 -2.96 0.77 2
2457328.815653 -3.61 0.71 2
2457365.742354 -2.26 0.38 2
2457370.720102 -0.66 0.5 2
2457371.703356 -1.46 0.43 2
2457372.725695 -2.26 0.56 2
2457373.809723 -0.63 0.47 2
